Código Incidencia;Fecha Apertura;Descripción problema;Impacto Remedy;Sistema;JIRA;DELIV;Descripción Proyecto;Acciones;Status;Fecha Prevista;Motivo Resolución;Peticionario;Computar;Despliegue;Segmento;Tipo solucion
INC000004002888;26-abr;[2026R4] - [PRJ-11085] - PANGEA - Se asocia CP de 18 meses en lugar de 24 meses;3-Medio;DES_SOE_PANGEA;"PANOSP-2160 [ Cancelled / Won't Do ] 
FRONTMC-37425 [ Cancelled / Won't Do ] 
";;PRJ-10982 Fibra Oro en B2C_Orange;;Cerrada;26-abr;Cancelado No Aplica;TyD_PRUEBAS_PROD;SI;PAP;ORANGE;Cancelado No Aplica
INC000004002881;26-abr;[2026R4] -SIRES - NO LLEGA COMUNICACION FIBRA ORO;3-Medio;SOP_ONURIS;#N/D;;PRJ-10982 Fibra Oro en B2C_Orange;;Cerrada;26-abr;Cancelado No Aplica;TyD_PRUEBAS_PROD;SI;PAP;ORANGE;Cancelado No Aplica
INC000004003236;26-abr;[2026R4] - ORDEN ALTA FIBRA ORO EN ERROR;3-Medio;Soporte_CRM_SGF_LOCAL;#N/D;;PRJ-10982 Fibra Oro en B2C_Orange;;Cerrada;26-abr;Cancelado No Aplica;TyD_PRUEBAS_PROD;SI;PAP;ORANGE;Cancelado No Aplica
INC000004002890;26-abr;"[2026R4][PRJ-11608] - PANGEA - No se muestra la pestaña ""Servicios de Terceros""";3-Medio;DES_SOE_PANGEA;"PANOSP-2162 [ Cancelled / Won't Do ] 
FRONTRE-45807 [ Cancelled / Won't Do ] 
";;PRJ-11608 Fase II - Tienda de APPs;;Cerrada;26-abr;Cancelado No Aplica;TyD_PRUEBAS_PROD;SI;PAP;ORANGE;Cancelado No Aplica
INC000004003043;26-abr;"[2026R4][PRJ-11608] - PANGEA - No se muestran las aplicaciones en ""Tienda de APPs""";3-Medio;DES_SOE_PANGEA;"INTEPS-29817 [ Cancelled / Won't Do ] 
PANOSP-2163 [ Cancelled / Won't Do ] 
FRONTRE-45805 [ Cancelled / Won't Do ] 
PANOSP-2165 [ Cancelled / Won't Do ] 
";;PRJ-11608 Fase II - Tienda de APPs;;Cerrada;26-abr;Cancelado No Aplica;TyD_PRUEBAS_PROD;SI;PAP;ORANGE;Cancelado No Aplica
INC000004003228;26-abr;[2026R4] - [REGRESION FdC] - Error en la Validación del TOKEN en SIM Principal;3-Medio;DES_SOE_FICHA;"FRONTRE-45798 [ To Do /  ] 
FDCOSP-2099 [ Cancelled / Won't Do ] 
";;REGRESION;;Cerrada;26-abr;Resuelto sin Intervencion;TyD_PRUEBAS_PROD;SI;PAP;ORANGE;Resuelto sin Intervencion
INC000004003248;26-abr;"[2026R4] [Regresión Pangea] - Un alta solo fijo se queda en estado ""Pendiente"" en Teide";3-Medio;TEIDE_OSP_Soporte_Tecnico;"FRONTCO-60909 [ Cancelled / Won't Do ] 
PANOSP-2168 [ Cancelled / Won't Do ] 
MICRO-73693 [ Cancelled / Won't Do ] 
INTEPS-29822 [ Done / Done ] 
";;REGRESION;;Cerrada;26-abr;RL-Servicio/Elemento Caído;USU_UATS_SAC;SI;PAP;ORANGE;RL-Servicio/Elemento Caído
INC000004003025;26-abr;[2026R4] - [REGRESIÓN FICHA] - Orden de migración PRE-CONVERGENTE en error.;3-Medio;TEIDE_OSP_Soporte_Tecnico;"FDCOSP-2097 [ Cancelled / Won't Do ] 
MICRO-73686 [ Cancelled / Won't Do ] 
FRONTCO-60906 [ Cancelled / Won't Do ] 
MICRO-73683 [ Cancelled / Won't Do ] 
INTEPS-29808 [ Cancelled / Won't Do ] 
MICRO-73687 [ Cancelled / Won't Do ] 
INTEPS-29809 [ Cancelled / Won't Do ] 
";;REGRESION;;Cerrada;26-abr;RL-Servicio/Elemento Caído;TyD_PRUEBAS_PROD;SI;PAP;ORANGE;RL-Servicio/Elemento Caído
INC000004003244;26-abr;[2026R4]- REGRESION No se genera orden para reposicionar Presencia Digital tras pack roto;3-Medio;TEIDE_OSP_Soporte_Tecnico;#N/D;;REGRESION;;Cerrada;26-abr;RL-Servicio/Elemento Caído;TyD_PRUEBAS_PROD;SI;PAP;ORANGE;RL-Servicio/Elemento Caído
INC000004002871;26-abr;[2026R4][REGRESIÓN FICHA] - No avanza la orden de Pendiente a Enviada en TEIDE;3-Medio;TyD_PRUEBAS_PROD;"MICRO-73692 [ Cancelled / Won't Do ] 
INTEPS-29818 [ Done / Done ] 
";;REGRESION;;Cerrada;26-abr;Resuelto Administrativo;TyD_PRUEBAS_PROD;SI;PAP;ORANGE;Resuelto Administrativo
INC000004002788;26-abr;[2026R4] - [CRMb2b] Error Ordenes en vuelo al realizar cambio tarifa conecta pyme;3-Medio;SOP_CRMB2B;"CRMBOP-2525 [ Done / Done ] 
";;REGRESION;;Cerrada;26-abr;RL-Error Datos Configuracion/Parametros;TyD_PRUEBAS_PROD;SI;PAP;ORANGE;RL-Error Datos Configuracion/Parametros
INC000004003249;26-abr;[2026R4] - FICHA CLIENTE PRJ-10982 Fibra Oro - En FdC SAC no da tarifas ni fibra ORO;3-Medio;DES_SOE_FDCMM;"FICHACM-776 [ Done / Done ] 
";;PRJ-10982 Fibra Oro en B2C_Orange;;Cerrada;26-abr;Resuelto sin Intervencion;TyD_PRUEBAS_PROD;SI;PAP;JAZZTEL;Resuelto sin Intervencion
INC000004003227;26-abr;[2026R4] - [PRJ-10982] - PANGEA - Fibra ORO - Ha ocurrido un error al obtener las tarifas;3-Medio;DES_SOE_PANGEA;"PANOSP-2154 [ Done / Done ] 
";;PRJ-10982 Fibra Oro en B2C_Orange;;Cerrada;26-abr;Acción adicional innecesaria;TyD_PRUEBAS_PROD;SI;PAP;ORANGE;Acción adicional innecesaria
INC000004002894;26-abr;[2026R4] - PANGEA PRJ-10982 Fibra Oro - No permite seleccionar tipología de entrega;3-Medio;DES_SOE_PANGEA;"PANOSP-2166 [ Cancelled / Won't Do ] 
";;PRJ-10982 Fibra Oro en B2C_Orange;;Cerrada;26-abr;Cancelado No Aplica;TyD_PRUEBAS_PROD;SI;PAP;ORANGE;Cancelado No Aplica
INC000004003701;26-abr;[2026R4] - ORDEN TEIDE TLV ALTA FIBRA ORO EN ERROR;3-Medio;TEIDE_OSP_Soporte_Tecnico;#N/D;;PRJ-10982 Fibra Oro en B2C_Orange;;Cerrada;26-abr;Cancelado No Aplica;TyD_PRUEBAS_PROD;SI;PAP;ORANGE;Cancelado No Aplica
INC000004002895;26-abr;[2026R4] - PRJ-11085 - FdC MM - El botón tramitar abre una página en blanco;3-Medio;DES_SOE_FDCMM;"FICHACM-775 [ Cancelled / Won't Do ] 
FRONTMC-37428 [ Cancelled / Won't Do ] 
";;PRJ-11085 CONTRATACIÓN MULTIDISPOSITIVO VAP SOBRE LINEA FIJA JAZZTEL;;Cerrada;26-abr;Cancelado No Aplica;TyD_PRUEBAS_PROD;SI;PAP;JAZZTEL;Cancelado No Aplica
INC000004002777;26-abr;[2026R4] Subvenciones caducadas siguen mostrandose;2-Alta;SOP_KRATOS;#N/D;;PRJ-11085 CONTRATACIÓN MULTIDISPOSITIVO VAP SOBRE LINEA FIJA JAZZTEL;nueva carga en Atreus;Cerrada;26-abr;Cancelado No Aplica;DES_SOE_ATENAS;SI;PAP;ORANGE;Cancelado No Aplica
INC000004003231;26-abr;[2026R4] - PANGEA [Regresión Pangea] Error AVS-06 en checkout_extendidocidencia;3-Medio;DES_SOE_PANGEA;"INTEPS-29820 [ Cancelled / Won't Do ] 
PANOSP-2156 [ Cancelled / Won't Do ] 
PANOSP-2161 [ Cancelled / Won't Do ] 
FRONTCO-60907 [ Cancelled / Won't Do ] 
MICRO-73689 [ Cancelled / Won't Do ] 
PANOSP-2170 [ Done / Done ] 
";;REGRESION;;Cerrada;26-abr;Acción adicional innecesaria;USU_UATS_SAC;SI;PAP;ORANGE;Acción adicional innecesaria
